Origin,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,carname
1,18,8,307,130,3504,12,70,chevrolet chevelle malibu
1,15,8,350,165,3693,11.5,70,buick skylark 320
1,18,8,318,150,3436,11,70,plymouth satellite
1,16,8,304,150,3433,12,70,amc rebel sst
1,17,8,302,140,3449,10.5,70,ford torino
1,15,8,429,198,4341,10,70,ford galaxie 500
1,14,8,454,220,4354,9,70,chevrolet impala
1,14,8,440,215,4312,8.5,70,plymouth fury iii
1,14,8,455,225,4425,10,70,pontiac catalina
1,15,8,390,190,3850,8.5,70,amc ambassador dpl
1,15,8,383,170,3563,10,70,dodge challenger se
1,14,8,340,160,3609,8,70,plymouth 'cuda 340
1,15,8,400,150,3761,9.5,70,chevrolet monte carlo
1,14,8,455,225,3086,10,70,buick estate wagon (sw)
1,22,6,198,95,2833,15.5,70,plymouth duster
1,18,6,199,97,2774,15.5,70,amc hornet
1,21,6,200,85,2587,16,70,ford maverick
1,21,6,199,90,2648,15,70,amc gremlin
1,10,8,360,215,4615,14,70,ford f250
1,10,8,307,200,4376,15,70,chevy c20
1,11,8,318,210,4382,13.5,70,dodge d200
1,9,8,304,193,4732,18.5,70,hi 1200d
1,28,4,140,90,2264,15.5,71,chevrolet vega 2300
1,19,6,232,100,2634,13,71,amc gremlin
1,16,6,225,105,3439,15.5,71,plymouth satellite custom
1,17,6,250,100,3329,15.5,71,chevrolet chevelle malibu
1,19,6,250,88,3302,15.5,71,ford torino 500
1,18,6,232,100,3288,15.5,71,amc matador
1,14,8,350,165,4209,12,71,chevrolet impala
1,14,8,400,175,4464,11.5,71,pontiac catalina brougham
1,14,8,351,153,4154,13.5,71,ford galaxie 500
1,14,8,318,150,4096,13,71,plymouth fury iii
1,12,8,383,180,4955,11.5,71,dodge monaco (sw)
1,13,8,400,170,4746,12,71,ford country squire (sw)
1,13,8,400,175,5140,12,71,pontiac safari (sw)
1,18,6,258,110,2962,13.5,71,amc hornet sportabout (sw)
1,22,4,140,72,2408,19,71,chevrolet vega (sw)
1,19,6,250,100,3282,15,71,pontiac firebird
1,18,6,250,88,3139,14.5,71,ford mustang
1,23,4,122,86,2220,14,71,mercury capri 2000
1,26,4,91,70,1955,20.5,71,plymouth cricket
1,25,4,97.5,80,2126,17,72,dodge colt hardtop
1,20,4,140,90,2408,19.5,72,chevrolet vega
1,21,4,122,86,2226,16.5,72,ford pinto runabout
1,13,8,350,165,4274,12,72,chevrolet impala
1,14,8,400,175,4385,12,72,pontiac catalina
1,15,8,318,150,4135,13.5,72,plymouth fury iii
1,14,8,351,153,4129,13,72,ford galaxie 500
1,17,8,304,150,3672,11.5,72,amc ambassador sst
1,11,8,429,208,4633,11,72,mercury marquis
1,13,8,350,155,4502,13.5,72,buick lesabre custom
1,12,8,350,160,4456,13.5,72,oldsmobile delta 88 royale
1,13,8,400,190,4422,12.5,72,chrysler newport royal
1,15,8,304,150,3892,12.5,72,amc matador (sw)
1,13,8,307,130,4098,14,72,chevrolet chevelle concours (sw)
1,13,8,302,140,4294,16,72,ford gran torino (sw)
1,14,8,318,150,4077,14,72,plymouth satellite custom (sw)
1,22,4,122,86,2395,16,72,ford pinto (sw)
1,28,4,98,80,2164,15,72,dodge colt (sw)
1,13,8,350,175,4100,13,73,buick century 350
1,14,8,304,150,3672,11.5,73,amc matador
1,13,8,350,145,3988,13,73,chevrolet malibu
1,14,8,302,137,4042,14.5,73,ford gran torino
1,15,8,318,150,3777,12.5,73,dodge coronet custom
1,12,8,429,198,4952,11.5,73,mercury marquis brougham
1,13,8,400,150,4464,12,73,chevrolet caprice classic
1,13,8,351,158,4363,13,73,ford ltd
1,14,8,318,150,4237,14.5,73,plymouth fury gran sedan
1,13,8,440,215,4735,11,73,chrysler new yorker brougham
1,12,8,455,225,4951,11,73,buick electra 225 custom
1,13,8,360,175,3821,11,73,amc ambassador brougham
1,18,6,225,105,3121,16.5,73,plymouth valiant
1,16,6,250,100,3278,18,73,chevrolet nova custom
1,18,6,232,100,2945,16,73,amc hornet
1,18,6,250,88,3021,16.5,73,ford maverick
1,23,6,198,95,2904,16,73,plymouth duster
1,11,8,400,150,4997,14,73,chevrolet impala
1,12,8,400,167,4906,12.5,73,ford country
1,13,8,360,170,4654,13,73,plymouth custom suburb
1,12,8,350,180,4499,12.5,73,oldsmobile vista cruiser
1,18,6,232,100,2789,15,73,amc gremlin
1,21,4,140,72,2401,19.5,73,chevrolet vega
1,19,4,122,85,2310,18.5,73,ford pinto
1,21,6,155,107,2472,14,73,mercury capri v6
1,15,8,350,145,4082,13,73,chevrolet monte carlo s
1,16,8,400,230,4278,9.5,73,pontiac grand prix
1,15,8,318,150,3399,11,73,dodge dart custom
1,11,8,350,180,3664,11,73,oldsmobile omega
1,20,6,198,95,3102,16.5,74,plymouth duster
1,19,6,232,100,2901,16,74,amc hornet
1,15,6,250,100,3336,17,74,chevrolet nova
1,26,4,122,80,2451,16.5,74,ford pinto
1,25,4,140,75,2542,17,74,chevrolet vega
1,16,6,250,100,3781,17,74,chevrolet chevelle malibu classic
1,16,6,258,110,3632,18,74,amc matador
1,18,6,225,105,3613,16.5,74,plymouth satellite sebring
1,16,8,302,140,4141,14,74,ford gran torino
1,13,8,350,150,4699,14.5,74,buick century luxus (sw)
1,14,8,318,150,4457,13.5,74,dodge coronet custom (sw)
1,14,8,302,140,4638,16,74,ford gran torino (sw)
1,14,8,304,150,4257,15.5,74,amc matador (sw)
1,28,4,90,75,2125,14.5,74,dodge colt
1,19,6,225,95,3264,16,75,plymouth valiant custom
1,18,6,250,105,3459,16,75,chevrolet nova
1,15,6,250,72,3432,21,75,mercury monarch
1,15,6,250,72,3158,19.5,75,ford maverick
1,16,8,400,170,4668,11.5,75,pontiac catalina
1,15,8,350,145,4440,14,75,chevrolet bel air
1,16,8,318,150,4498,14.5,75,plymouth grand fury
1,14,8,351,148,4657,13.5,75,ford ltd
1,17,6,231,110,3907,21,75,buick century
1,16,6,250,105,3897,18.5,75,chevroelt chevelle malibu
1,15,6,258,110,3730,19,75,amc matador
1,18,6,225,95,3785,19,75,plymouth fury
1,21,6,231,110,3039,15,75,buick skyhawk
1,20,8,262,110,3221,13.5,75,chevrolet monza 2+2
1,13,8,302,129,3169,12,75,ford mustang ii
1,23,4,140,83,2639,17,75,ford pinto
1,20,6,232,100,2914,16,75,amc gremlin
1,23,4,140,78,2592,18.5,75,pontiac astro
1,18,6,171,97,2984,14.5,75,ford pinto
1,19,6,232,90,3211,17,75,amc pacer
1,25,4,140,92,2572,14.9,76,capri ii
1,26,4,98,79,2255,17.7,76,dodge colt
1,17.5,8,305,140,4215,13,76,chevrolet chevelle malibu classic
1,16,8,318,150,4190,13,76,dodge coronet brougham
1,15.5,8,304,120,3962,13.9,76,amc matador
1,14.5,8,351,152,4215,12.8,76,ford gran torino
1,22,6,225,100,3233,15.4,76,plymouth valiant
1,22,6,250,105,3353,14.5,76,chevrolet nova
1,24,6,200,81,3012,17.6,76,ford maverick
1,22.5,6,232,90,3085,17.6,76,amc hornet
1,29,4,85,52,2035,22.2,76,chevrolet chevette
1,24.5,4,98,60,2164,22.1,76,chevrolet woody
1,20,6,225,100,3651,17.7,76,dodge aspen se
1,18,6,250,78,3574,21,76,ford granada ghia
1,18.5,6,250,110,3645,16.2,76,pontiac ventura sj
1,17.5,6,258,95,3193,17.8,76,amc pacer d/l
1,26.5,4,140,72,2565,13.6,76,ford pinto
1,13,8,318,150,3940,13.2,76,plymouth volare premier v8
1,16.5,8,350,180,4380,12.1,76,cadillac seville
1,13,8,350,145,4055,12,76,chevy c10
1,13,8,302,130,3870,15,76,ford f108
1,13,8,318,150,3755,14,76,dodge d100
1,30,4,111,80,2155,14.8,77,buick opel isuzu deluxe
1,25.5,4,122,96,2300,15.5,77,plymouth arrow gs
1,17.5,8,305,145,3880,12.5,77,chevrolet caprice classic
1,17,8,260,110,4060,19,77,oldsmobile cutlass supreme
1,15.5,8,318,145,4140,13.7,77,dodge monaco brougham
1,15,8,302,130,4295,14.9,77,mercury cougar brougham
1,17.5,6,250,110,3520,16.4,77,chevrolet concours
1,20.5,6,231,105,3425,16.9,77,buick skylark
1,19,6,225,100,3630,17.7,77,plymouth volare custom
1,18.5,6,250,98,3525,19,77,ford granada
1,16,8,400,180,4220,11.1,77,pontiac grand prix lj
1,15.5,8,350,170,4165,11.4,77,chevrolet monte carlo landau
1,15.5,8,400,190,4325,12.2,77,chrysler cordoba
