id,name,goal,pledged,state,country,currency,currency_trailing_code,staff_pick,backers_count,static_usd_rate,usd_pledged,category,spotlight
1526127826,conceptual-waist-aprons,300,321,successful,US,USD,TRUE,FALSE,18,1,321,Conceptual Art,TRUE
2007987502,mjolby-porslinsravsmuseum-pin,3000,7070,successful,SE,SEK,TRUE,FALSE,79,0.12122604,857.0681028,Conceptual Art,TRUE
1075407414,cool-dog-annual-sticker-fund-2016,3200,4431.12,successful,US,USD,TRUE,FALSE,148,1,4431.12,Conceptual Art,TRUE
1038608633,uss-coral-sea-cvb-cva-cv-43-commemorative-challeng,2100,2500,successful,US,USD,TRUE,FALSE,56,1,2500,Conceptual Art,TRUE
451699826,amrita-bottles-inc,1950,2240,successful,US,USD,TRUE,FALSE,31,1,2240,Conceptual Art,TRUE
1765015841,draw-like-a-boss,30000,51833.32,successful,GB,GBP,FALSE,FALSE,1633,1.5516602,80427.69968,Conceptual Art,TRUE
1881968040,art-and-soul-body-painting-self-acceptance-after-c,300,322,successful,US,USD,TRUE,FALSE,14,1,322,Conceptual Art,TRUE
1624053431,art-of-words-pop-artist,12000,12568,successful,US,USD,TRUE,FALSE,148,1,12568,Conceptual Art,TRUE
759609400,the-new-oklahomaa-plan-to-improve-the-worst-part-o,100,1060.01,successful,US,USD,TRUE,FALSE,50,1,1060.01,Conceptual Art,TRUE
96887393,mapping-budapest-budpst,500,615,successful,GB,GBP,FALSE,FALSE,34,1.5201103,934.8678345,Conceptual Art,TRUE
1812065143,southern-rims,1500,1536,successful,US,USD,TRUE,FALSE,25,1,1536,Conceptual Art,TRUE
1211451479,help-alexi-era-gallerys-relocation-to-oregon,15000,24584,successful,US,USD,TRUE,FALSE,195,1,24584,Conceptual Art,TRUE
966852264,pulse-art,200,239,successful,FR,EUR,FALSE,FALSE,7,1.12246043,268.2680428,Conceptual Art,TRUE
903875893,unique-original-art-just-for-you,800,881,successful,CA,CAD,TRUE,FALSE,22,0.79546458,700.804295,Conceptual Art,TRUE
433802709,fjuk-artist-residency-performance-installation,3000,4569,successful,US,USD,TRUE,FALSE,50,1,4569,Conceptual Art,TRUE
1673846410,existential-alleviation-40-days-bicycling-a-book,800,1071,successful,US,USD,TRUE,FALSE,18,1,1071,Conceptual Art,TRUE
2059892440,studio-subway,500,508,successful,US,USD,TRUE,FALSE,18,1,508,Conceptual Art,TRUE
142462051,and-again-university-of-leeds-degree-show-2016,500,757,successful,GB,GBP,FALSE,FALSE,27,1.44326177,1092.54916,Conceptual Art,TRUE
297312144,illuminated,3500,4532,successful,US,USD,TRUE,FALSE,19,1,4532,Conceptual Art,TRUE
678795038,an-imaginary-map-of-reading,150,185,successful,US,USD,TRUE,FALSE,8,1,185,Conceptual Art,TRUE
621706600,9-ways-to-say-its-over-a-film-and-photography-exhi,2000,2166,successful,GB,GBP,FALSE,TRUE,50,1.5422317,3340.473862,Conceptual Art,TRUE
1968477591,experience-the-commonwealth-of-new-island,3500,5739,successful,US,USD,TRUE,TRUE,79,1,5739,Conceptual Art,TRUE
397420745,an-experiment-in-space-and-sound-duet,2400,2455,successful,US,USD,TRUE,TRUE,44,1,2455,Conceptual Art,TRUE
1060238474,museum-of-non-visible-art-praxis-and-james-franco,5000,16197.01,successful,US,USD,TRUE,TRUE,164,1,16197.01,Conceptual Art,TRUE
141446734,number-34,2000,2760,successful,US,USD,TRUE,TRUE,47,1,2760,Conceptual Art,TRUE
1912195897,i-heart-my-attitude-collection-the-store-goes-to-m,4499,4580,successful,US,USD,TRUE,TRUE,70,1,4580,Conceptual Art,TRUE
121072620,meme-the-world,5000,5258,successful,US,USD,TRUE,TRUE,87,1,5258,Conceptual Art,TRUE
1010649633,future-phenomena-amanda-browder,800,1064,successful,US,USD,TRUE,TRUE,25,1,1064,Conceptual Art,TRUE
2029600232,the-tumbleweed-collective-revealing-america-one-ob,600,833.36,successful,US,USD,TRUE,TRUE,33,1,833.36,Conceptual Art,TRUE
2080353391,glitter-gold,2000,2095,successful,US,USD,TRUE,TRUE,48,1,2095,Conceptual Art,TRUE
890833400,july-22-1941-2011,4200,4771,successful,US,USD,TRUE,TRUE,58,1,4771,Conceptual Art,TRUE
1214352944,songs-on-conceptual-art,1000,1331.66,successful,US,USD,TRUE,TRUE,48,1,1331.66,Conceptual Art,TRUE
2041949885,portraits-over-gchat,25,145,successful,US,USD,TRUE,TRUE,54,1,145,Conceptual Art,TRUE
1666009607,the-postnatalist-second-issue-comic-book,300,353.12,successful,AU,AUD,TRUE,TRUE,8,0.83354241,294.3404958,Conceptual Art,TRUE
1908048596,dear-frida,5000,12423,successful,DK,DKK,TRUE,TRUE,53,0.14184723,1762.168138,Conceptual Art,TRUE
244603371,poorly-planned-poorly-executed-stickers,110,850.01,successful,US,USD,TRUE,TRUE,105,1,850.01,Conceptual Art,TRUE
778051073,sonic-room,1000,1007,successful,GB,GBP,FALSE,TRUE,51,1.6681708,1679.847996,Conceptual Art,TRUE
476198466,collaboratively-determined-telluric-sites-2013,2000,2135,successful,US,USD,TRUE,TRUE,33,1,2135,Conceptual Art,TRUE
1631799950,cool-dog-annual-sticker-fund-2015,3200,4343,successful,US,USD,TRUE,TRUE,192,1,4343,Conceptual Art,TRUE
1296747864,hannah-burrs-book-no-2-being-the-situation-make-it,4500,4935,successful,US,USD,TRUE,FALSE,111,1,4935,Conceptual Art,TRUE
1928300262,kumula-an-a-kumula-tion-of-art-jewelry-and-instill,1900,2001,successful,US,USD,TRUE,TRUE,32,1,2001,Conceptual Art,TRUE
1894759206,the-home-project,800,1010,successful,US,USD,TRUE,TRUE,28,1,1010,Conceptual Art,TRUE
326201050,living-gallery,4567,4637,successful,US,USD,TRUE,TRUE,88,1,4637,Conceptual Art,TRUE
2114374615,a-bit-e-of-me,500,2733.55,successful,US,USD,TRUE,TRUE,213,1,2733.55,Conceptual Art,TRUE
491813194,weaving-the-woolen-muffler-for-the-alpaca-i-sheare-0,2500,2986,successful,GB,GBP,FALSE,TRUE,88,1.6223916,4844.461318,Conceptual Art,TRUE
775040541,fetial-fee-shuhl-landscape-the-la-riots-memorial-p,2500,2505,successful,US,USD,TRUE,TRUE,27,1,2505,Conceptual Art,TRUE
104117858,especially-mysterious-letters,2000,3956,successful,US,USD,TRUE,TRUE,122,1,3956,Conceptual Art,TRUE
531003497,talk-nukes,1100,1150,successful,US,USD,TRUE,TRUE,30,1,1150,Conceptual Art,TRUE
924992056,trace-cameraless-records-of-radioactive-contaminat,5000,6621,successful,US,USD,TRUE,TRUE,121,1,6621,Conceptual Art,TRUE
409000857,bot-marks-for-your-bot-books-retro-robot-themed-bo,300,629,successful,US,USD,TRUE,TRUE,70,1,629,Conceptual Art,TRUE
242208060,lines-a-zine-by-jtr,1600,1724,successful,US,USD,TRUE,TRUE,32,1,1724,Conceptual Art,TRUE
1666804832,trade-school-0,9000,9133.18,successful,US,USD,TRUE,TRUE,239,1,9133.18,Conceptual Art,TRUE
1868269236,illuminated-0,4750,5449,successful,GB,GBP,FALSE,TRUE,55,1.68733369,9194.281277,Conceptual Art,TRUE
917471136,arctic-circle-expedition,5000,5761,successful,US,USD,TRUE,TRUE,92,1,5761,Conceptual Art,TRUE
541268297,inch-x-inch,400,592.25,successful,US,USD,TRUE,TRUE,24,1,592.25,Conceptual Art,TRUE
2147460119,moments-of-insight,18000,18758,successful,US,USD,TRUE,TRUE,53,1,18758,Conceptual Art,TRUE
303845415,the-here-and-now-project,5000,5225,successful,US,USD,TRUE,TRUE,103,1,5225,Conceptual Art,TRUE
517909457,cool-dog-annual-sticker-fund-2014,1000,3533.79,successful,US,USD,TRUE,TRUE,134,1,3533.79,Conceptual Art,TRUE
373856269,travel-magnets,700,781.82,successful,US,USD,TRUE,TRUE,37,1,781.82,Conceptual Art,TRUE
968516795,teetering-evolve-a-book-of-photography-by-erin-m-s,800,1075,successful,US,USD,TRUE,TRUE,31,1,1075,Conceptual Art,TRUE
1841490220,gay-men-of-the-west-coast-topics-on-sexuality-and,2500,2930.45,successful,US,USD,TRUE,TRUE,56,1,2930.45,Conceptual Art,TRUE
